1880 1 -0.248305
1880 2 -0.518785
1880 3 -0.039167
1880 4 0.367581
1880 5 -0.43
1880 6 -0.213711
1880 7 -0.540936
1880 8 -0.369413
1880 9 -0.401188
1880 10 -0.239656
1880 11 -0.772191
1880 12 -0.76084
1881 1 0.216446
1881 2 -0.131728
1881 3 -0.423813
1881 4 -0.062734
1881 5 -0.352816
1881 6 -0.466146
1881 7 -0.577227
1881 8 -0.369165
1881 9 -0.396737
1881 10 -0.412427
1881 11 -0.839189
1881 12 -0.517518
1882 1 -0.785583
1882 2 -0.816793
1882 3 -0.30048
1882 4 -0.675765
1882 5 -0.680703
1882 6 -0.462065
1882 7 -0.566947
1882 8 -0.7001
1882 9 -0.322491
1882 10 -0.377106
1882 11 -0.371417
1882 12 -0.164025
1883 1 -0.444489
1883 2 -0.967564
1883 3 -0.399894
1883 4 -0.480282
1883 5 -0.518564
1883 6 -0.440512
1883 7 -0.433298
1883 8 -0.198039
1883 9 -0.424664
1883 10 -0.421841
1883 11 -0.779086
1883 12 -0.887051
1884 1 -0.645128
1884 2 -0.959059
1884 3 -0.310123
1884 4 -0.124787
1884 5 -0.251356
1884 6 -0.61636
1884 7 -0.438176
1884 8 -0.493009
1884 9 -0.264695
1884 10 -0.721697
1884 11 -0.953742
1884 12 -0.627739
1885 1 -0.418529
1885 2 -0.94612
1885 3 -0.340418
1885 4 -0.48178
1885 5 -0.688095
1885 6 -0.467826
1885 7 -0.605541
1885 8 -0.486072
1885 9 -0.400143
1885 10 -0.205672
1885 11 -0.137752
1885 12 -0.27861
1886 1 0.022859
1886 2 -0.470208
1886 3 -0.557938
1886 4 -0.550377
1886 5 -0.501495
1886 6 -0.489567
1886 7 -0.666537
1886 8 -0.544532
1886 9 -0.478005
1886 10 -0.3379
1886 11 -0.553529
1886 12 -0.700104
1887 1 -0.774583
1887 2 -1.090085
1887 3 -0.259703
1887 4 -0.388924
1887 5 -0.448113
1887 6 -0.600528
1887 7 -0.712123
1887 8 -0.592827
1887 9 -0.437248
1887 10 -0.520811
1887 11 -0.354302
1887 12 -0.152291
1888 1 -0.775541
1888 2 -0.543886
1888 3 0.142114
1888 4 -0.262532
1888 5 -0.633776
1888 6 -0.20696
1888 7 -0.216906
1888 8 -0.612052
1888 9 -0.365668
1888 10 -0.444562
1888 11 -0.858613
1888 12 -0.129541
1889 1 -0.322383
1889 2 -0.515677
1889 3 -0.054285
1889 4 -0.260128
1889 5 -0.293839
1889 6 -0.305635
1889 7 -0.305745
1889 8 -0.356414
1889 9 -0.489878
1889 10 -0.428032
1889 11 -0.889179
1889 12 -0.608169
